,qid,dob,dod,name,text
102,Q2494,1927.0,,Pope Benedict XVI,"Pope Benedict XVI (; born Joseph Aloisius Ratzinger; ; on 16 April 1927) was pope of the Catholic Church, having served from 2005 until his resignation in 2013. Benedict was elected on 19 April 2005 i"
104,Q2518,1930.0,,Helmut Kohl,Helmut Josef Michael Kohl (; born 3 April 1930) is a German conservative politician and statesman. He served as Chancellor of Germany from 1982 to 1998 (of West Germany 1982–90 and of the reunited Ger
266,Q7339,1926.0,1945.0,Margot Frank,"Margot Betti Frank (16 February 1926 – early March 1945) was the elder daughter of Otto and Edith Frank, and the older sister of Anne Frank, whose deportation order from the Gestapo hastened the Frank"
1309,Q39301,1933.0,1992.0,Wilfried Dietrich,"Wilfried Dietrich (October 14, 1933 – June 3, 1992) was a German wrestler, Olympic Champion in freestyle wrestling, Olympic silver medalist in Greco-Roman wrestling, winner of a total of five Olympic "
1546,Q44286,1929.0,2011.0,Rudolf Mössbauer,Rudolf Ludwig Mössbauer (German spelling: Mößbauer; 31 January 1929 – 14 September 2011 Münchner Physik-Nobelpreisträger Mößbauer ist tot – München. Bild.de (2011-09-21). Retrieved on 2012-06-26.) was
1606,Q44801,1926.0,2011.0,Peter Alexander (Austrian performer),"Peter Alexander Ferdinand Maximilian Neumayer (30 June 1926 – 12 February 2011), commonly known as Peter Alexander, was an Austrian actor, singer and entertainer. His fame emerged in the 1950s and 196"
1680,Q45542,1926.0,1997.0,Helmut Fischer,"Helmut Fischer (15 November 1926 – 14 June 1997) was a popular award winning German actor.

Life
Helmut Fischer was the son of a businessman and a tailor and grew up in the Munich district of Neuhause"
2162,Q56230,1930.0,,Rainer Baumann (footballer),"Rainer Baumann (born January 21, 1930) is a German former footballer.

External links
International record

Category:1930 births
Category:Living people
Category:German footballers
Category:East German"
2535,Q60539,1933.0,2003.0,Horst Buchholz,"Horst Werner Buchholz (4 December 1933 – 3 March 2003) was a German actor, best known in English-speaking countries for his roles in The Magnificent Seven, in which he played Chico,""Horst Buchholz wil"
2567,Q60777,1934.0,1994.0,Manfred Wörner,Manfred Hermann Wörner (24 September 1934 in Stuttgart-Bad Cannstatt – 13 August 1994 in Brussels) was a German politician and diplomat. He served as the defense minister of West Germany between 1982 
2575,Q60820,1931.0,,Rolf Hochhuth,"thumb|Rolf Hochhuth, 2009
Rolf Hochhuth (born 1 April 1931, in Eschwege) is a German author and playwright. He is best known for his 1963 drama The Deputy and remains a controversial figure for his pl"
2632,Q61199,1933.0,,Reiner Kunze,"thumb|Reiner Kunze.
thumb|Signature.
Reiner Kunze (born 16 August 1933, in Oelsnitz, Erzgebirge, Saxony) is a German writer and GDR dissident. He studied media and journalism at the University of Leip"
2639,Q61250,1934.0,,Martin Bangemann,"[[Image:Bundesarchiv Bild 183-1986-0317-027, Berlin, Gespräch Honecker, Bangemann.jpg|thumb|200px|right|Bangemann (left) with Erich Honecker in Berlin 1986.]]
Martin Bangemann (born 15 November 1934 i"
2666,Q61408,1929.0,2007.0,Walter Kempowski,"thumb|Walter Kempowski
Walter Kempowski (April 29, 1929 – October 5, 2007Donahue, Patrick. ""German Writer, Chronicler Walter Kempowski Dies at Age 78"". October 5, 2007. Bloomberg.com. Last accessed Oc"
2708,Q61644,1933.0,,Helmuth Rilling,"250px|thumb|Helmuth Rilling in 2013
Helmuth Rilling (born 29 May 1933 in Stuttgart) is an internationally known German choral conductor, founder of the Gächinger Kantorei (1954), the Bach-Collegium St"
2817,Q62334,1934.0,2007.0,Ulrich Plenzdorf,"thumb|Ulrich Plenzdorf (1993)
Ulrich Plenzdorf (October 26, 1934 – August 9, 2007) was a German author and dramatist.

Life
Born in Berlin, Plenzdorf studied Philosophy in Leipzig, but graduated with "
2908,Q62895,1928.0,2012.0,Ulric Neisser,"Ulric Gustav Neisser (December 8, 1928 – February 17, 2012) the “father of cognitive psychology”, was born in Kiel, Germany, December 8, 1928. He was an American psychologist and member of the US Nati"
2933,Q63061,1934.0,,Hans-Emil Schuster,"Hans-Emil Schuster (born September 19, 1934 in 
Hamburg) is a German astronomer who retired in October 1991. He worked at Hamburg Observatory at Bergedorf and European Southern Observatory (ESO), and "
2953,Q63189,1931.0,2011.0,Dana Wynter,"Dana Wynter (8 June 19315 May 2011) was a German-born EnglishBiodata actress, who was brought up in England and Southern Africa. She appeared in film and television for over forty years beginning in t"
3002,Q63543,1926.0,2004.0,Helmut Rix,"Helmut Rix (July 4, 1926, in Amberg – December 3, 2004, in Freiburg im Breisgau) was a German linguist and professor of the Sprachwissenschaftliches Seminar of Albert-Ludwigs-Universität, Freiburg, Ge"
3067,Q63972,1932.0,2006.0,Frank Beyer,"Frank Paul Beyer (26 May 1932 – 1 October 2006) was German film director. In East Germany he was one of the most important film directors, working for the state film monopoly DEFA and directed films t"
3196,Q65141,1931.0,,Jürgen Trumpf,"Jürgen Trumpf (born 8 July 1931, Düsseldorf) was appointed Secretary-General for the Council of the European Union and held the office from 1 September 1994 to 17 October 1999. 

When the Amsterdam Tr"
3218,Q65278,1929.0,2003.0,Dorothee Sölle,"thumb|Dorothee Sölle (1981)
Dorothee Steffensky-Sölle (born Nipperdey; 30 September 1929 – 27 April 2003) was a German liberation theologian and writer who coined the term Christofascism. She was born"
3295,Q65915,1928.0,,Hans Herrmann,"[[Image:Porsche RS61-8zyl -H. Herrmann 19620527.jpg|thumb|Hans Herrmann driving RS 61 at the Nürburgring 1962]]
[[Image:1965-05-23 Hans Herrmann vor dem Start.jpg|thumb|Hans Herrmann before the start "
3303,Q65973,1926.0,1999.0,Herbert Freudenberger,"Herbert J. Freudenberger (1926 – 1999) was a German-born American psychologist. Though Freudenberger had many jobs in his life, including practitioner, editor, theoretician, and author, his most signi"
3555,Q67936,1932.0,1994.0,Gert Prokop,"Gert Prokop (born June 11, 1932 in Richtenberg; died March, 1994 in Berlin from suicide) was a German writer of science fiction and crime fiction. He spent much of his life in the former East Germany."
3714,Q69183,1930.0,,Ernst-Wolfgang Böckenförde,"thumb|Ernst-Wolfgang Böckenförde

Ernst-Wolfgang Böckenförde (born September 19, 1930 in Kassel) is one of Germany's foremost legal philosophers and a former judge on the Constitutional Court. He is P"
3769,Q69631,1927.0,,Harald Weinrich,"Harald Weinrich (born 1927 in Wismar) is a German classical scholar, scholar of Romance philology and philosopher, known for the breadth of his writings. He is emeritus professor of the Collège de Fra"
3774,Q69661,1930.0,,Rolf Hoppe,"[[File:Rolf Hoppe o.jpg|thumb|Rolf Hoppe at the 59th Berlin International Film Festival (2009)]]
Rolf Hoppe (born 6 December 1930 in Ellrich) is a German film and stage actor.

 Life 
Hoppe was born a"
3840,Q70174,1927.0,2005.0,Siegfried Palm,"Siegfried Palm (25 April 1927 – 6 June 2005) was a German cellist who is known worldwide for his interpretations of contemporary music. Many 20th-century composers like Kagel, Ligeti, Xenakis, Pendere"
3850,Q70251,1927.0,2011.0,Walter Giller,"thumb| Walter Giller in 1955

Walter Giller (23 August 1927 – 15 December 2011) was a German actor.

Giller was born in Recklinghausen. In 1956, he married actress Nadja Tiller; they had two children."
3853,Q70276,1933.0,,Karl-Otto Alberty,"Karl-Otto Alberty (also Karl Otto Alberty, b. November 13, 1933 in Berlin) is a German actor.

He started out as an amateur boxer before discovering a talent for acting, making his début at the City T"
3854,Q70305,1926.0,,Sonja Ziemann,"Sonja Ziemann (born 8 February 1926 in Eichwalde, Province of Brandenburg) is a German film and television actress.http://ftvdb.bfi.org.uk/sift/individual/17498

Selected filmography
 The Black Forest"
3857,Q70335,1930.0,,Hans Mommsen,"Hans Mommsen (born 5 November 1930) is a left-wingMenke, Martin ""Mommsen, Hans"" pages 826–827 from The Encyclopedia of Historians and Historical Writing edited by Kelly Boyd, Volume 2, London: Fitzroy"
3883,Q70566,1934.0,,Hermann Baumann (musician),"Hermann Baumann (born 1 August 1934) is a virtuoso horn player, academic teacher teacher and composer.

After starting his musical career as a singer and jazz drummer he switched to horn at the age of"
4090,Q71811,1934.0,,Bernhard Waldenfels,"Bernhard Waldenfels (* 17. März 1934 in Essen) ist ein deutscher Philosoph. Zentrales Thema seines Denkens und Schreibens ist die Herausforderung durch das Fremde.

 Leben 
Waldenfels studierte Philos"
4275,Q73009,1930.0,,Reinhold Remmert,"thumb|Reinhold Remmert.  
Reinhold Remmert (22 June 1930) is a German mathematician born in Osnabrück, Germany. He studied mathematics, mathematical logic and physics in Münster. He established and de"
4279,Q73029,1929.0,2012.0,Vinzenz Guggenberger,"Vinzenz Guggenberger (March 21, 1929 – July 4, 2012) was the Roman Catholic titular bishop of Abziri and auxiliary bishop of the Roman Catholic Diocese of Regensburg, Germany.

Ordained in 1953, Gugge"
4409,Q73847,1926.0,1979.0,Gerhard Stolze,"Gerhard Stolze (1 October 1926, Dessau – 11 March 1979, Garmisch-Partenkirchen) was a German tenor.

He was a character tenor best known as a Wagner singer. His most famous roles were Mime (Das Rheing"
4435,Q74041,1926.0,1996.0,Hans-Joachim Bremermann,"thumb|220px|Hans-Joachim Bremermann
Hans-Joachim Bremermann (1926–1996) was a German-American mathematician and biophysicist.  He worked on computer science and evolution, introducing new ideas of how"
4465,Q74268,1932.0,,Bernhard Vogel (politician)," 
thumb|180px|left|Bernhard Vogel (2011)
right|thumb|Bernhard Vogel (1988)

Bernhard Vogel (born 19 December 1932) is a German politician (CDU).

Vogel was born in Göttingen. He was Minister-President"
4526,Q74765,1929.0,2013.0,Christoph Scriba,"Christoph J. Scriba (October 6, 1929 – July 26, 2013) was a German historian of mathematics.

Life and work
Scriba was born in Darmstadt and studied at Justus-Liebig-University Giessen. He read James "
4542,Q74859,1927.0,2009.0,Karl Peglau,"Karl Peglau (May 18, 1927 – November 29, 2009) was a German traffic psychologist who invented the iconic Ampelmännchen traffic symbols used in the former East Germany in 1961. The Ampelmännchen depict"
4705,Q75942,1930.0,1996.0,Wolfgang Pietzsch,"Wolfgang Pietzsch (21 December 1930, Wittgendorf – 29 December 1996, Leipzig) was a chess Grandmaster (1965). He played in the Chess Olympiads of 1952, 1958, 1960, 1962, 1966 and 1968.

References

Ex"
4743,Q76101,1932.0,2013.0,Jürgen Warnke,"Jürgen Walter Franz Karl Warnke (20 March 1932 – 27 April 2013) was a German lawyer and politician, who served in various capacities at the Bundestag and German cabinets.

Early life and education
War"
4753,Q76132,1928.0,,Klaus Dick,"Klaus Dick (* 27. Februar 1928 in Köln-Ehrenfeld) ist emeritierter Weihbischof in Köln.

 Leben 
Im Jahre 1947 absolvierte er am Gymnasium Schwertstraße in Solingen das Abitur. Sechs Jahre später, am "
4841,Q76498,1929.0,1995.0,Michael Ende,Michael Andreas Helmuth Ende (12 November 1929 – 28 August 1995) was a German writer of fantasy and children's fiction. He is best known for his epic fantasy The Neverending Story; other famous works 
4884,Q76716,1933.0,,Karl Lagerfeld,"Karl Lagerfeld (born Karl Otto Lagerfeldt, 10 September 1933) is a German fashion designer, artist, and photographer based in Paris. He is the head designer and creative director of the fashion house "
5084,Q77751,1931.0,1993.0,Gert Hofmann,"Gert Hofmann (29 January 1931 – 1 July 1993) was a German writer and professor of German literature. Hofmann was born in Limbach, Saxony (Germany) and died in Erding (near Munich).

Hoffmann grew up i"
5112,Q77869,1927.0,2008.0,Dieter Eppler,"Dieter Eppler (11 February 1927 in Stuttgart – 12 April 2008 in Stuttgart) was a German television actor and director of radio dramas. He was born on February 11, 1927 in Stuttgart, Germany. He was an"
5157,Q78051,1927.0,2008.0,Dieter Noll,"thumb|200px|Dieter Noll (1966).
Dieter Noll (December 31, 1927 – February 6, 2008) was a German writer.  His best known work is the two volume novel Die Abenteuer des Werner Holt from the early 1960s "
5228,Q78328,1934.0,,Berthold Maria Schenk Graf von Stauffenberg,"Berthold Maria Schenk Graf von Stauffenberg (born 3 July 1934) is a German retired Bundeswehr general. Early in his career, he commanded Germany's largest military base. At the time of his retirement "
5262,Q78490,1932.0,2004.0,Thomas Klestil,"[[File:Vladimir Putin and Koni-3.jpg|thumb|right|Klestil with Lyudmila Putina, his wife Margot Klestil-Löffler, Vladimir Putin and Koni, whilst on a visit to Russia in 2004.]]

Thomas Klestil (4 Novem"
5300,Q78620,1927.0,,Herbert W. Franke,"thumb|Herbert W. Franke
Herbert W. Franke (born 14 May 1927 in Vienna) is an Austrian scientist and writer. He is considered one of the most important science fiction authors in the German language.
H"
5305,Q78646,1928.0,2009.0,Alfred Hrdlicka,"thumb|Mahnmal gegen Krieg und Faschismus, Vienna, Albertinaplatz
[[File:Bietigheim-hrdlicka-Portraet-Bonhoefer p1160185.jpg|thumb|180px|Bronze sculpture of Dietrich Bonhoeffer, at a side entrance of t"
5329,Q78731,1928.0,,Otto F. Kernberg,Otto Friedmann Kernberg (born 10 September 1928) is a psychoanalyst and professor of psychiatry at Weill Cornell Medical College. He is most widely known for his psychoanalytic theories on borderline 
5358,Q78844,1931.0,1954.0,Rupert Hollaus,Rupert Hollaus (4 September 1931 in Traisen - 11 September 1954) was an Austrian Grand Prix motorcycle road racer who competed for the NSU factory racing team. He is the only Austrian to win a road ra
5388,Q78976,1929.0,1992.0,Eberhard Wächter (baritone),"thumb|250px|Eberhard Wächter
Eberhard Wächter  (8 July 1929 – 29 March 1992) was an Austrian baritone, particularly celebrated for his performances in the operas of Mozart, Richard Wagner, and Richard"
5636,Q84186,1926.0,2002.0,Ivan Illich,"Ivan Illich (;See inogolo:pronunciation of Ivan Illich. 4 September 1926 – 2 December 2002) was an Austrian philosopher, Roman Catholic priest, and ""maverick social critic""Madar, Chase (2010-02-01) ""T"
5708,Q84699,1932.0,,Frank Stronach,"Frank Stronach, CM (born Franz Strohsack; 6 September 1932) is an Austrian and Canadian businessman and politician. 

He is the founder of Magna International, an international automotive parts compan"
5722,Q84779,1929.0,2008.0,Jürgen Ehlers,"Jürgen Ehlers (; December 29, 1929 – May 20, 2008) was a German physicist who contributed to the understanding of Albert Einstein's theory of general relativity. From graduate and postgraduate work in"
5766,Q84985,1928.0,,Heinrich Isser,"Heinrich ""Heini"" Isser (born May 12, 1928) is an Austrian bobsledder-luger who competed during the 1950s and 1960s.

He was born in Matrei in Osttirol.

Luge career
Isser won five medals at the Europe"
5778,Q85027,1927.0,,Herbert J. Gans,"Herbert J. Gans (born May 7, 1927)books.google.ca is a German-born American sociologist who has taught at Columbia University between 1971 and 2007.

One of the most prolific and influential sociologi"
5795,Q85083,1934.0,,Eberhard Jüngel,Eberhard Jüngel (born 5 December 1934) is a German Lutheran theologian. He is also Emeritus Professor of Systematic Theology and the Philosophy of Religion at the Faculty of Evangelical Theology of th
5831,Q85371,1926.0,,Herbert H. Ágústsson," 

Herbert Hriberschek Ágústsson (born 8 August 1926 in Austria) is an Icelandic composer and hornist.
 
After completing his studies in 1944 in Graz with Franz Mixa and Arthur Michl, he played first "
5903,Q85768,1934.0,,Lukas David,"Lukas Florian David (* 5. Juni 1934 in Wels) ist ein österreichischer Violinist.

Lukas David ist der jüngere Sohn des Komponisten Johann Nepomuk David und seiner Frau Berta Eybl und Bruder des Kompon"
5904,Q85774,1931.0,2007.0,Erich Feigl,"Erich Feigl (1931 – January 27, 2007) was an Austrian documentary film producer and author. He produced almost 60 documentaries, mostly for the Austrian ORF but some for BR (Bavarian), ZDF (German) an"
5908,Q85786,1934.0,,Dieter Haack,"[[Datei:Bundesarchiv B 145 Bild-F052701-0002, Hannover, Bundesminister Haack besucht Messe.jpg|thumb|Dieter Haack auf der Baumesse Constructa 1978]]
Dieter Haack (* 9. Juni 1934 in Karlsruhe) ist ein "
5921,Q85853,1927.0,,Karl Ravens,"thumb|200px|Karl Ravens, 1978
Karl Ravens (* 29. Juni 1927 in Achim) ist ein deutscher Politiker (SPD). Er war von 1974 bis 1978 Bundesminister für Raumordnung, Bauwesen und Städtebau.

 Leben und Ber"
5948,Q85982,1929.0,2006.0,Gershon Shaked,"Gershon Shaked ()
(1929–2006) was an Israeli scholar and critic of Hebrew literature.

Biography
Born Gerhard Mandel in Vienna, Austria, he immigrated to Mandate Palestine alone in 1939, and was later"
6057,Q86564,1931.0,2009.0,Heinrich Schweiger,"Heinrich Schweiger (July 23, 1931, Vienna – July 14, 2009) was a Viennese film and stage actor who played leading roles at the Burgtheater on the Ring beginning in 1949. Among the plays in which he st"
6228,Q87460,1927.0,1980.0,Walter Kohut,"Walter Kohut (20 November 1927 – 18 May 1980) was an Austrian film, television and theatre actor.

He appeared in many Austrian and German films over a 30 year period and became known for playing shad"
6271,Q87633,1928.0,,Werner Klumpp,"thumb|Werner Klumpp.  
Werner Klumpp (born 12 November 1928 in Baiersbronn, Baden-Württemberg) is a German politician. He was a German politician of the FDP. After the death of Franz-Josef Röder he wa"
6331,Q87893,1927.0,,Kurt Rosenkranz,"Kurt Rosenkranz (born on August 2, 1927, in Vienna) is an Austrian adult educator.

 Life 
Kurt Rosenkranz grew up in the Viennese district of Brigittenau. His Jewish parents and grandparents had emig"
6339,Q87927,1929.0,2011.0,Erwin Strahl,"Erwin Strahl (12 February 1929 – 20 April 2011) was an Austrian actor.http://ftvdb.bfi.org.uk/sift/individual/91282 From 1966 until his death, he was married to Austrian actress Waltraut Haas.

He die"
6348,Q87947,1932.0,,Johanna Matz,"Johanna Matz is an Austrian film actress.http://ftvdb.bfi.org.uk/sift/individual/20685

Selected filmography
 Season in Salzburg (1952)
 The White Horse Inn (1952)
 Die Jungfrau auf dem Dach (1953), t"
6349,Q87949,1927.0,,Waltraut Haas,"Waltraut Haas (born June 9, 1927) is a popular Austrian stage and film actress and singer.

Born in Vienna, Haas grew up at Schloss Schönbrunn, where her mother was a restaurateur. Haas made her stage"
6373,Q88039,1926.0,2007.0,Harald Leupold-Löwenthal,Harald Leupold-Löwenthal (6 August 1926 – 13 March 2007) was an Austrian neurologist and psychoanalyst known for his involvement in the establishment in 1971 of the Sigmund Freud Museum and in its fur
6408,Q88247,1930.0,,Otto Schenk,"Otto Schenk (born June 12, 1930 in Vienna) is an Austrian actor, and theater and opera director.

Life and career
Schenk was born to Catholic parents. His father, a lawyer, had Jewish roots and theref"
6409,Q88249,1932.0,1994.0,Herbert Holba,Herbert Holba (7 May 1932 – 26 October 1994) was an Austrian film director and screenwriter. He directed five films between 1961 and 1971. His 1971 film The First Day was entered into the 21st Berlin 
6443,Q88351,1927.0,1992.0,Otto Voisard,"miniatur|Otto Voisard 1985
Otto Voisard (* 18. Mai 1927 in Wien; † 11. Mai 1992 in Wien) war ein deutsch-österreichischer Industriemanager.

 Leben 

Die Schulausbildung absolvierte Otto Voisard in Wi"
6484,Q88539,1926.0,,Rudolf Zehetgruber,"Rudolf Zehetgruber (born 16 September 1926) is an Austrian film director, screenwriter, actor and film producer. He directed 17 films between 1960 and 1985.

He was born in Vienna, Austria.

Selected "
6488,Q88543,1927.0,2008.0,Leopold Wagner,"Leopold Wagner (1927, Klagenfurt – 26 September 2008) was an Austrian politician of the Social Democratic Party (SPÖ), serving as governor (Landeshauptmann) of Carinthia from 1974 to 1988.

Wagner was"
6530,Q88723,1927.0,,Friedrich Ehrendorfer,"Friedrich Ehrendorfer (* 26. Juli 1927 in Wien) ist ein österreichischer Botaniker und Pflanzensystematiker. Die Abkürzung seines Autorennamens ist Ehrend.

 Leben 

Friedrich Ehrendorfer studierte vo"
6564,Q88884,1931.0,2012.0,Ernst Hinterberger,"Ernst Hinterberger (17 October 1931 – 14 May 2012) was an Austrian writer of novels, particularly detective novels, plays and successful sitcoms. His first TV scripts were unusual for their use of gen"
6626,Q89156,1927.0,,Johann Weber (Bischof),"miniatur|Bischof Johann Weber (2008)
mini|Unterschrift Bischof Johann Weber
Johann Weber (* 26. April 1927 in Graz, Steiermark) ist römisch-katholischer Altbischof der österreichischen Diözese Graz-Se"
6667,Q89344,1929.0,,Franz Schelle,"Franz Schelle (born 17 June 1929) was a West German bobsledder who competed from the mid-1950s to the mid-1960s. He won five medals at the FIBT World Championships with one gold (Four-man: 1962), two "
6714,Q89532,1926.0,,Ingrid Haebler,"right|Ingrid Haebler (~1969)
Ingrid Haebler (born Vienna, Austria, June 20, 1929) is an Austrian pianist. She studied at the Salzburg Mozarteum, Vienna Music Academy, Geneva Conservatory and privately"
6718,Q89542,1927.0,1998.0,Victor Papanek,"Victor Papanek (22 November 1923, Vienna – 10 January 1998, Lawrence, Kansas) was a designer and educator who became a strong advocate of the socially and ecologically responsible design of products, "
6777,Q89787,1931.0,,Hilmar Thate,"Hilmar Thate (born 17 April 1931) is a German actor. He has appeared in 40 films and television shows since 1955.

Selected filmography
 The Gleiwitz Case (1961)
 Professor Mamlock (1961)
 Der geteilt"
6796,Q89861,1927.0,,Erni Mangold,"Erni Mangold (sometimes Ernie or Erna; born as Erna Goldmann on 25 January 1927) is an Austrian actress and stage director. Since 1948, she had appeared in more than 75 films and TV productions.

Life"
6848,Q90065,1929.0,,Hubert Rohde,"Hubert Rohde (born 28 February 1929 in Hildesheim) is a German politician, representative of the German Christian Democratic Union.

Life
Hubert Rohde was born in a Christian family in Hildesheim. To "
6949,Q90577,1926.0,2008.0,Christa Reinig,"Christa Reinig (6 August 1926, Berlin – 30 September 2008, Munich) was a German poet, fiction and non-fiction writer and dramatist. She began her career in the Soviet occupation zone which became East"
6981,Q90702,1927.0,,Helmut Maucher,"thumb|Helmut Maucher.

Helmut Maucher served as the CEO of Nestlé SA from June 1990 to June 1997.  He joined the company at a young age, completing an apprenticeship at the Nestlé SA factory in Eisenh"
6992,Q90745,1929.0,2008.0,Gert Haucke,"Gert Haucke (1929–2008) was a German film and television actor.http://ftvdb.bfi.org.uk/sift/individual/116382

Selected filmography
 A Scoundrel's Honour (1966)
 Death in the Red Jaguar (1968)
 Ludwig"
7039,Q90962,1929.0,1981.0,Michael Kohl,"thumb|Michael Kohl (1974)
Michael Kohl (* 28. September 1929 in Sondershausen; † 4. Juli 1981 in Berlin) war ein Diplomat der DDR. Er war Leiter der Ständigen Vertretung der DDR in der Bundesrepublik "
7221,Q91769,1927.0,1999.0,Tom Stonier,"Tom 'Ted' Stonier (* 29 April 1927 in Hamburg; † 15 June 1999) was a biologist, philosopher,  information theoretist,educator and pacifist.
His scientific studies centered on information provide a pla"
7226,Q91791,1927.0,,Martin Böttcher,"thumb|Martin Böttcher, 2002
Martin Böttcher (born June 17, 1927, Berlin) is a German composer, arranger and conductor.

The beginning
Böttcher (on foreign records and articles often written ""Bottcher"""
7270,Q92004,1927.0,2011.0,Charlotte Kerr,"Charlotte Kerr (May 29, 1927 – December 28, 2011) was a German director, film producer, actress, writer and journalist.

She first performed on stage in Fritz Kortner’s version of Schiller’s Don Carlo"
7359,Q92444,1927.0,,Jürgen Goslar,"Jürgen Goslar (born 26 March 1927 in Oldenburg, Germany) is a German actor and director.

Selected filmography
Actor
 The Last Witness (1960)
 Das Kriminalmuseum (1963–70)
 Derrick - Season 3, Episode"
7365,Q92469,1930.0,1990.0,Horst Rittel,"Horst Willhelm Jakob Rittel (14 July 1930 – 9 July 1990) was a design theorist and university professor. He is best known for coining the term wicked problem,Churchman, C. W. (1967). Wicked problems. "
7443,Q92880,1927.0,1995.0,Gerard Salton,"Gerard A. ""Gerry"" Salton (8 March 1927 in Nuremberg – 28 August 1995), was a Professor of Computer Science at Cornell University.  Salton was perhaps the leading computer scientist working in the fiel"
7534,Q93672,1927.0,,Paul Badura-Skoda,"Paul Badura-Skoda (born 6 October 1927, Vienna) is an Austrian pianist.

He won first prize in the Austrian Music Competition in 1947. In 1949, he performed with distinguished conductors like Wilhelm "
7572,Q94020,1927.0,2011.0,Arno Fischer (Fotograf),"Arno Fischer (* 14. April 1927 in Berlin-Wedding; † 13. September 2011 in Neustrelitz) war ein deutscher Fotograf und Hochschullehrer.

 Leben 
Von 1947 bis 1953 studierte Arno Fischer Bildhauerei in "
7583,Q94108,1927.0,,Freda Meissner-Blau,"thumb|Freda Meissner-Blau (2009)
Freda Meissner-Blau (born March 11, 1927) is an Austrian politician, activist, and prominent figurehead in the Austrian environmental movement. She was a founder and t"
7723,Q95330,1930.0,2005.0,James Ingo Freed,"James Ingo Freed (June 23, 1930 – December 15, 2005) was an American architect born in Essen, Germany during the Weimar Republic. After coming to the United States at age nine with his parents, he stu"
7751,Q95441,1926.0,2008.0,Günther Schwarberg,"Günther Schwarberg (October 14, 1926 – December 3, 2008) was a German journalist and author whose 1979 series of articles in German news magazine Der Stern and subsequent book ""The SS Doctor and  the "
7850,Q95858,1927.0,,Oscar Schneider,"mini|Oscar Schneider (1. Reihe ganz rechts) in der Paulskirche, Frankfurt 16.10.1983
Oscar Schneider (* 3. Juni 1927 in Altenheideck, Bayern) ist ein deutscher Politiker (CSU). Er war von 1982 bis 198"
7870,Q95945,1933.0,2013.0,Reinhard Lettmann,"Reinhard Lettmann (March 9, 1933 – April 16, 2013) was the Roman Catholic bishop of the Diocese of Münster, Germany.

Ordained to the priesthood in 1959, Lettmann was named bishop in 1973 and retired "
7911,Q96115,1926.0,2009.0,Eta Linnemann,"Eta Linnemann (October 19, 1926 Osnabrück - 9 May 2009 Leer (Ostfriesland)) was a German Protestant theologian. In her last years, she broke completely with the theology of her teacher Rudolf Bultmann"
8044,Q96651,1928.0,2010.0,Reinhard Oehme,"Reinhard Oehme (; born 26 January 1928, Wiesbaden; died sometime between 29 September and 4 October 2010, Hyde ParkReinhard Oehme, theoretical physicist, 1928–2010. University of Chicago, October 12, "
8158,Q97087,1926.0,,Carl Hahn,"Dr. Carl Horst Hahn (born July 1, 1926) is chairman emeritus of the automotive concern Volkswagen Group.  He served as the Chairman of the Board of Management of the group's parent company, Volkswagen"
8187,Q97198,1933.0,,Heribert Beissel,"Heribert Beissel (born 27 March 1933, Wesel, Germany)Munzinger Biographie is a German orchestra conductor. He is perhaps best known for conducting works by 19th century Romantic composers, such as Cho"
8243,Q97438,1926.0,2010.0,Eberhard von Brauchitsch,"Eberhard von Brauchitsch  (28 November 1926 – 7 September 2010) was a German industrial manager. In his work for Flick KG, he was responsible for the donation of about 26 million Deutsche Mark to all "
8263,Q97503,1927.0,2014.0,Günter Reisch,Günter Reisch (24 November 1927 – 24 February 2014) was a German film director and screenwriter. He served in the German Army during the last stage of World War II. On 20 April 1944 he became a member
8293,Q97607,1928.0,,Henry Valentino,"Hans Blum (born May 28, 1928), more widely known as ""Henry Valentino"", is a German singer-songwriter. Henry Valentino is widely known in Germany for his distinct musical style, which has been the insp"
8317,Q97714,1926.0,2013.0,Paul Gnaier,"Paul Karl Rudolf Gnaier (8 March 1926 – 25 November 2013) was a German fencer and sports official. He represented the Unified Team of Germany in 1960 and 1964 and West Germany in 1968. 

References

C"
8338,Q97816,1928.0,2013.0,Franz Lehrndorfer,"thumb|Organ in the Frauenkirche, Munich
Franz Lehrndorfer (10 August 1928 – 10 January 2013) was a German organist and composer. A specialist in organ improvisation, he was for decades both the organi"
8368,Q97918,1928.0,2003.0,"Philipp-Ernst, Prince of Schaumburg-Lippe","Philipp-Ernst, Prince of Schaumburg-Lippe (Friedrich August Philipp-Ernst Wolrad) (26 July 1928 – 28 August 2003) was a head of the Princely House of Schaumburg-Lippe.

Biography
He was born in Hagenb"
8405,Q98041,1926.0,,Alberto Johannes Först,"Alberto Johannes Först (November 26, 1926 – November 1, 2014) was a Roman Catholic bishop.

Ordained to the priesthood on June 29, 1952, Först was named coadjutor bishop of the Roman Catholic Diocese "
8428,Q98114,1929.0,2004.0,Günter Gaus,"miniatur|Günter Gaus (1994)
[[Datei:Bundesarchiv Bild 183-N0916-023, Berlin, Gespräch Günter Gaus mit Erich Honecker.jpg|miniatur|Günter Gaus als Ständiger Vertreter der Bundesrepublik 1974 im Gespräc"
